NUTS_ID;STAT;NAME;AI_2012;AI_2016;QoL;GEO_oblast
UKC1;UK;Tees Valley and Durham;109,8019937;120,1499545;low;low
UKC2;UK;Northumberland and Tyne and Wear;119,8304464;124,1865531;medium;low
UKD1;UK;Cumbria;148,7095534;158,4631429;medium;low
UKD3;UK;Greater Manchester;76,57947507;85,18052284;low;low
UKD4;UK;Lancashire;109,5856002;119,3058749;low;low
UKD6;UK;Cheshire;122,6309344;133,7613998;medium;low
UKD7;UK;Merseyside;112,3347496;118,6100366;low;low
UKE1;UK;East Yorkshire and Northern Lincolnshire;118,2276099;127,9839674;low;low
UKE2;UK;North Yorkshire;129,1047912;145,1604741;high;low
UKE3;UK;South Yorkshire;97,6255866;105,6245351;low;low
UKE4;UK;West Yorkshire;78,90418949;89,5201168;low;low
UKF1;UK;Derbyshire and Nottinghamshire;105,4614823;117,7866379;medium;low
UKF2;UK;Leicestershire, Rutland and Northamptonshire;87,91971805;96,88234434;medium;low
UKF3;UK;Lincolnshire;136,2832404;150,1889301;low;low
UKG1;UK;Herefordshire, Worcestershire and Warwickshire;138,1098292;141,5166719;medium;low
UKG2;UK;Shropshire and Staffordshire;116,869446;128,7629165;low;low
UKG3;UK;West Midlands;63,37704519;84,249496;low;low
UKH1;UK;East Anglia;134,1169556;135,3953351;medium;low
UKH2;UK;Bedfordshire and Hertfordshire;83,43790392;86,66284031;high;low
UKH3;UK;Essex;107,408141;118,6489912;medium;low
UKI3;UK;Inner London - West;73,48661592;68,2947636;high;low
UKI4;UK;Inner London - East;56,61813984;44,02605122;high;low
UKI5;UK;Outer London - East and North East;75,00362467;66,10344404;medium;low
UKI6;UK;Outer London - South;79,04562121;75,6661334;high;low
UKI7;UK;Outer London - West and North West;68,34082069;66,74495288;high;low
UKJ1;UK;Berkshire, Buckinghamshire and Oxfordshire;82,89603242;85,9628765;high;low
UKJ2;UK;Surrey, East and West Sussex;106,5566477;128,4111102;high;medium
UKJ3;UK;Hampshire and Isle of Wight;99,43492545;120,9953692;high;low
UKJ4;UK;Kent;100,1357225;120,7080355;medium;medium
UKK1;UK;Gloucestershire, Wiltshire and Bristol/Bath area;97,70050721;116,3126982;high;low
UKK2;UK;Dorset and Somerset;150,900687;161,5954478;medium;low
UKK3;UK;Cornwall and Isles of Scilly;150,4961936;162,784051;medium;low
UKK4;UK;Devon;149,4305826;156,6667817;medium;low
UKL1;UK;West Wales and The Valleys;135,4435895;135,4037349;medium;low
UKL2;UK;East Wales;104,8272747;117,0804065;medium;low
UKM2;UK;Eastern Scotland (NUTS 2013);99,93035142;124,0962566;high;low
UKM3;UK;South Western Scotland (NUTS 2013);108,287217;120,722075;medium;low
UKM5;UK;North Eastern Scotland;97,06531258;115,3882463;high;low
UKM6;UK;Highlands and Islands;125,4541905;143,4825662;high;low
UKN0;UK;Northern Ireland (UK);77,28116907;84,54564642;medium;low
