Lesotho,LSO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Liberia,LBR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,57.1738407765045
Libya,LBY,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,19.7241122639286
Liechtenstein,LIE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Lithuania,LTU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.198868858964
Luxembourg,LUX,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
"Macao SAR, China",MAC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,100
Madagascar,MDG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,30.7194879066087
Malawi,MWI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.1002495375486
Malaysia,MYS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,31.3032443360889
Maldives,MDV,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Mali,MLI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.552592511096
Malta,MLT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Marshall Islands,MHL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Mauritania,MRT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,51.3628233659009
Mauritius,MUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Mexico,MEX,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.0083761804549
"Micronesia, Fed. Sts.",FSM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Moldova,MDA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,46.6195641739464
Monaco,MCO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Mongolia,MNG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,69.6068279583546
Montenegro,MNE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Morocco,MAR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.8031339298487
Mozambique,MOZ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,14.0611976191413
Myanmar,MMR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.2650312101256
Namibia,NAM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,29.2243511713163
Nauru,NRU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Nepal,NPL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,24.4526825855298
Netherlands,NLD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,7.02786737086256
New Caledonia,NCL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
New Zealand,NZL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.4087218157021
Nicaragua,NIC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.6108291406315
Niger,NER,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.1207756173221
Nigeria,NGA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,12.914373478198
North Macedonia,MKD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,57.4158715009758
Northern Mariana Islands,MNP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Norway,NOR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.4305601788513
Oman,OMN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,35.6596148081583
Pakistan,PAK,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.3077407679289
Palau,PLW,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Panama,PAN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,63.8730470371495
Papua New Guinea,PNG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,28.6385453039404
Paraguay,PRY,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,81.123600613741
Peru,PER,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,41.9574571515163
Philippines,PHL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.5322267064624
Poland,POL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,8.15949700398418
Portugal,PRT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,41.1697699381895
Puerto Rico (US),PRI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,81.2116251057382
Qatar,QAT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,28.724706932779
Romania,ROU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.8894132908766
Russian Federation,RUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,11.7232221406736
Rwanda,RWA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,49.9645812400833
Samoa,WSM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
San Marino,SMR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Sao Tome and Principe,STP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Saudi Arabia,SAU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.0116237157541
Senegal,SEN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.2100227999889
Serbia,SRB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,37.3284796768792
Seychelles,SYC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Sierra Leone,SLE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,34.8223466210624
Singapore,SGP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,100
